MATNR,YE49_plus_7
G13461,"59,90"
G13911,"19,45"
G20190,"285,66"
G20417,"248,85"
G21090,"170,02"
G46429GS,"7,64"
G27521,"27,18"
G28140,"10,52"
G29800,"8,89"
G30026,"157,41"
G32925ECO,"43,77"
G08568,"4,59"
G36264,"169,47"
G37337001,"282,79"
G37342,"76,17"
G38558,"10,31"
G38784,"56,35"
G40535SST,"34,85"
FG80335,"136,61"
G41806,"5,29"
G43055,"27,24"
G43913P,"3,69"
G45650CMC,"22,05"
ID1004713,"52,56"
ID1002155,"41,17"
ID1001105,"12,05"
ID796928,"369,87"
G35500,"101,26"
ID1002060,"22,92"
ID1004750,"14,43"
G40627CG,"138,81"
ID1021986,"110,14"
ID955368,"165,92"
G27753,"106,83"
G19417,"211,99"
G47092,"10,88"
G28389,"25,66"
G36340,"26,23"
G36207001,"248,35"
ID1022016,"47,97"
G28112,"25,97"
G19929CG,"265,75"
G01387P,"6,63"
G13051,"15,74"
G36359,"496,74"
G12005,"22,74"
ID1002092,"44,16"
G19936,"480,76"
ID979834,"41,86"
G46133,"24,47"
ID931699,"252,83"
ID952575,"115,26"
ID1002003,"8,26"
G29802,"15,46"
G06880,"24,73"
ID1001107,"12,05"
G41020,"33,57"
G27884,"79,77"
G46375,"5,63"
ID1002103,"17,84"
G42893,"38,13"
G40390,"29,89"
G14117P,"49,02"
G23462001,"87,14"
ID1005388,"19,06"
ID974997,"447,92"
G40166,"28,23"
ID605691,"59,20"
G27266001,"45,35"
ID737789,"234,42"
ID1004658,"147,09"
ID1021987,"96,97"
G05999P,"23,94"
ID1004751,"12,11"
ID796907,"53,99"
ID981494,"60,37"
G43982,"61,46"
ID975028,"126,50"
ID960179,"75,02"
G13017,"21,90"
G20192,"306,53"
ID1015841,"12,31"
ID1022020,"108,53"
ID1004699,"309,49"
G47576,"2,56"
ID726604,"50,00"
G29078,"72,51"
G43048AW,"51,42"
ID952574,"59,39"
ID647434,"30,33"
G23132EC0,"112,76"
G45562,"20,24"
ID754862,"5,40"
G46057,"23,15"
ID975025,"109,14"
ID1001980,"41,85"
G28831001,"115,52"
G32197,"497,89"
G20344,"417,03"
G29007,"76,89"
ID647487,"31,12"
G23338,"62,78"
G28142,"9,50"
G33552002,"62,73"
FG27542,"17,36"
ID754856,"29,78"
G38672EST,"57,78"
G03924P,"6,63"
G27746,"125,19"
ID981103,"47,37"
G36240001,"518,98"
G32734,"50,45"
